"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,"Good"
6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9,"Good"
7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,"Good"
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,"Bad"
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,"Good"
7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,"Good"
6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,"Good"
6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,"Good"
6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,"Good"
5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,"Good"
6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,"Good"
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,"Bad"
5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,"Good"
6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,"Good"
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,"Good"
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,"Bad"
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,"Bad"
7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,"Good"
6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,"Good"
7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,"Bad"
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,"Good"
6,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,"Good"
7.3,0.34,0.3,9.4,0.057,34,178,0.99554,3.15,0.44,10.4,"Good"
6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,"Good"
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,"Good"
6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,"Good"
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,"Bad"
8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,"Bad"
9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,"Good"
8.3,0.22,0.34,1.1,0.043,20,116,0.9927,3,0.47,10.2,"Good"
7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,"Good"
6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,"Good"
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,"Good"
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,"Good"
5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,"Bad"
5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,"Bad"
6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,"Bad"
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,"Bad"
5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,"Good"
5.8,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,"Good"
